학력,학과,학점,어학,,,,,,,,,,,,
수도권4년,전기전자, 학점 3.32/4.5, 토스 Level6, 수상 1회, 동아리 2회,40,153, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 3.47/4.5, 오픽 IL, 인턴 1회, 수상 1회,17,492, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4/4.5,0,11,290, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.92/4.5, 토익 785, 토스 Level6, 자격증 3개, 해외경험 2회, 수상 1회, 동아리 1회,7,558, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,20,247, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 오픽 IH, 교내활동 1회,11,346, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 790, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,2,373, 읽음,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,5,934, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.75/4.5, 오픽 IM2,5,749, 읽음,,,,,,,,,
대학원,전기전자, 학점 3.85/4.5, 토스 Level8, 해외경험 1회, 수상 1회,21,110, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.67/4.5, 토익 990, 토스 Level8, 오픽 AL, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 2회,29,812, 읽음,,
수도권4년, 정보통신공학, 학점 3.4/4.5,0,206, 읽음,,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5, 토익 855, 자격증 1개,4,117, 읽음,,,,,,,,
지방4년, 정보통신공학, 학점 3.1/4.5, 토익 680, 오픽 IL, 자격증 2개,12,699, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,4,356, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.33/4.3, 토익 950, 오픽 AL, 인턴 2회, 수상 3회, 동아리 1회,15,667, 읽음,,,,,
수도권4년, 응용통계학과, 학점 3.67/4.5, 토익 990, 토스 Level8, 오픽 AL, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 2회,101,425, 읽음,,
지방4년, 제어계측공학과, 학점 4/4.5, 토익 840, 토스 Level6, 자격증 3개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 1회, 교내활동 1회,30,923, 읽음,,
수도권4년,컴퓨터학부, 학점 3.13/4.5,0, 인턴 1회, 수상 3회,5,368, 읽음,,,,,,,
지방4년,전기전자, 학점 3.3/4.5, 토익 855, 오픽 IM2, 자격증 1개,38,328, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,28,314, 읽음,,,,,,
수도권4년,전기전자, 학점 3.43/4.5, 토익 810, 토스 Level6, 자격증 3개,4,619, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,21,993, 읽음,,,,,
지방4년, 정보통신공학, 학점 3.2/4.5, 토익 715, 자격증 2개, 인턴 1회, 자원봉사 2회,10,618, 읽음,,,,,,
지방4년, 정보통신공학, 학점 3.2/4.5, 토익 715, 자격증 4개, 인턴 1회, 자원봉사 2회,11,502, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,5,297, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,13,807, 읽음,,,,,,
